station,lon,lat,elevation,start_year,end_year
El-Kharga,30.53333,25.45,78,1971,2017
EloraResearchStn.,279.58333,43.65,376,1970,1998
ElPaso,253.6,31.8,1205,1950,1994
ElPuyo,282.05,-1.5,950,1965,1967
ElShowak,35.85,14.21667,510,1977,1988
ElTatio,291.95,-22.35,4320,1971,1972
ElTololo,289.3,-30.16667,2154,2004,2021
El-Vigia,288.35,8.63333,103,1996,1998
ElYeso,289.71667,-32.68333,2475,1971,1972
ElyYelland,245.15,39.28333,1907,1950,2000
Embrun,6.5,44.56667,871,1980,2021
Emeishan,103.33333,29.51667,3047,1961,2000
Entebbe,32.61667,0.05,1155,1964,1978
Epinal,6.45,48.2,317,2013,2013
Erlianhaote,111.96667,43.65,965,1957,2000
Eskdalemuir,356.8,55.31667,242,1956,2017
Esperance,121.88333,-33.81667,25,1987,1995
Eureka,274.06667,79.98333,10,1964,1998
EurekaBSRN,274.05972,79.98889,85,2007,2011
Evangelistas,284.91667,-52.4,58,1973,1973
Evora,352.1,38.56667,309,1964,2021
Evreux-Huest,1.21667,49.01667,138,2011,2017
FadaN'Gourma,0.35,12.06667,308,1971,1990
Fahud,56.48333,22.35,170,1988,1991
Fairbanks,212.13333,64.81667,138,1943,1998
Fairfield,357.11667,53.8,24,1959,1975
FalconaraMarittima,13.36667,43.61667,10,1985,1988
FaradayVernadsky,295.7,-65.3,5,1964,1992
Farafra,27.96667,27.05,82,2009,2010
Faro-Airpt.,352.03333,37.01667,8,1964,2021
"FazendaBoaSorte,Marabo",311.25,-5.16667,170,1991,1993
"FazendaDimona,Manaus",300.05,-2.31667,80,1990,1993
"FazendaNossaSenhoradaAparecida,Ji-Parana",297.63333,-10.75,220,1991,1993
FedorovObservatory,104.28333,77.71667,13,1937,1996
Feldkirch,9.6,47.26667,439,1965,1968
Fengcheng,124.13333,40.46667,0,1961,1990
Feuerkogel,13.73333,47.81667,1598,1965,1989
Fichtelberg,12.95,50.43333,1214,1964,1998
FiladelfiaAthen,23.66667,38.05,138,1977,1993
Finningley,359.0,53.48333,17,1984,1995
FlamingGorge,250.58333,40.93333,1912,1959,1969
FloresArpt,328.86667,39.45,29,2006,2015
FlorianopolisBSRN,311.51667,-27.46667,11,1994,2021
ForrestAirp.,128.1,-30.83333,156,1969,1988
Fort-De-Francedesaix,298.95,14.61667,143,2013,2016
FortLamy,15.03333,12.13333,297,1957,1963
FortNelson,237.4,58.83333,378,1971,1998
FortPeck,254.9,48.31,634,1997,2021
FortPeckBSRN,254.9,48.31667,634,1995,2020
FortPeckSURFRAD,254.8,48.51667,634,1995,2013
FortSimpson,238.65,61.86667,129,1954,1965
FortSmith,248.06667,60.03333,203,1971,1998
FortSmithAirpt.,248.03333,60.01667,205,1993,1998
FortWorth,262.95,32.83333,175,1950,1974
Fredericton,293.38333,45.91667,40,1960,1999
Freiburg,7.85,48.0,269,1973,1998
Fresno,240.28333,36.76667,101,1950,1994
FrobisherBayIqaluit,291.45,63.75,21,1973,1987
FuerteventuraAirport,346.15,28.45,29,2004,2021
Fukue,128.83333,32.7,25,1962,1972
Fukui,136.21667,36.05,9,1973,2002
Fukuoka,130.38333,33.58333,3,1959,2021
FukuokaBSRN,130.37639,33.58222,3,2010,2022
Fukushima,140.46667,37.76667,67,1961,2008
Funchal,343.1,32.63333,58,1957,2021
Fussach,9.66667,47.48333,400,1964,1964
Fuyu,124.48333,47.8,162,1993,2000
Fuzhou,119.28333,26.08333,0,1961,2000
Gainesville,277.65,29.65,59,1950,1969
Galati,28.01667,45.5,71,1970,2021
